id,asset_class,type,occupancy_code,location,country,number_of_storeys,basement,construction_code,first_floor_height,capacity,name,latitude,longitude,value
1,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 01,41.4159,2.2024,3140000
2,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 02,41.4062,2.1827,2118000
3,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 03,41.381,2.1543,2917000
4,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 04,38.0163,-3.3759,602000
5,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 05,38.0058,-3.367,1875000
6,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 06,38.018,-3.3759,2365000
7,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 07,38.0266,-3.3668,1542000
8,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 08,37.4036,-5.9829,247000
9,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 09,37.3851,-5.9984,499000
10,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 10,37.4116,-6.0354,1224000
11,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 11,37.4012,-6.0342,513000
12,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 12,37.2648,-6.0561,1818000
13,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 13,37.2905,-6.0545,1500000
14,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 14,42.0069,0.1672,3087000
15,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 15,42.036,0.1262,1193000
16,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 16,42.0398,0.1256,880000
17,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 17,42.0392,0.1304,1135000
18,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 18,40.4273,-3.5549,1083000
19,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 19,40.4239,-3.5604,2188000
20,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 20,40.432,-3.6575,3880000
21,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 21,40.4285,-3.6822,1250000
22,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 22,40.4327,-3.7004,1826000
23,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 23,40.4169,-3.6713,1339000
24,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 24,40.4519,-3.6969,1935000
25,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 25,40.407,-3.6804,1850000
26,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 26,40.4593,-3.677,166000
27,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 27,37.5738,-0.9219,1885000
28,RealEstateAsset,Buildings/Residential,,Europe,ES,,,,,,Residential Asset 28,37.6009,-0.9889,2654000
